"";"pathway";"pval";"padj";"ES";"NES";"nMoreExtreme";"size";"leadingEdge"
"37";"HALLMARK_ESTROGEN_RESPONSE_LATE";0,0106382978723404;0,0253292806484296;-0,347848507135605;-1,32714399496621;1;200;"KRT13,TRIM29,IGSF1,HSPB8,CAV1,ACOX2,LTF,ST6GALNAC2,PCP4,TPSAB1,LARGE1,NBL1,ATP2B4,MYOF,CXCL12,PGR,HR,SLC24A3,HSPA4L,DUSP2,CCN5,SULT2B1,ADD3,KRT19,GJB3,BCL2,CKB,ALDH3A2,RAPGEFL1,KLK10,SEMA3B,WFS1,TFF1,ITPK1,SCNN1A,NAB2,PRKAR2B,FOXC1,PERP,XRCC3,IGFBP4,CELSR2,BTG3,SFN,JAK2,CYP26B1,DLG5,IL6ST,FDFT1,TNNC1,GPER1,FOS,CCND1,TPBG,RBBP8,CA12,EMP2,JAK1"
"38";"HALLMARK_ESTROGEN_RESPONSE_EARLY";0,00531914893617021;0,0139977603583427;-0,369976106485885;-1,41156727118656;0;200;"KRT13,KRT15,HSPB8,MSMB,ZNF185,GFRA1,GJA1,NAV2,NBL1,SVIL,P2RY2,MYOF,SYNGR1,MPPED2,CXCL12,PGR,OLFML3,HR,SLC24A3,THSD4,CELSR1,CCN5,SULT2B1,ADD3,KRT19,BCL2,FHL2,GREB1,MAST4,AQP3,RAPGEFL1,KLK10,SEMA3B,WFS1,TFF1,ITPK1,SCNN1A,FOXC1,RARA,IGFBP4,CELSR2,SFN,JAK2,CYP26B1,IL6ST,FDFT1,FOS,CCND1,TPBG,RBBP8,SH3BP5,ADCY9,INPP5F,CA12,ELF1,KLF10,FCMR"
"39";"HALLMARK_KRAS_SIGNALING_UP";0,00531914893617021;0,0139977603583427;-0,37171457173484;-1,41820002558475;0;200;"HOXD11,IGF2,GABRA3,TMEM100,HSD11B1,SPON1,PCP4,ALDH1A2,TMEM158,SNAP25,VWA5A,GPRC5B,RBP4,ADGRA2,IL33,SPARCL1,ETV5,CCND2,ITGA2,MPZL2,PRRX1,GYPC,EPB41L3,PEG3,AKAP12,SEMA3B,TSPAN7,G0S2,TFPI,ETV4,CFH,IGFBP3,SPRY2,PRKG2,ANO1,BTBD3,CDADC1,FLT4,GNG11,TNFAIP3,CFB,CCSER2,ACE,GFPT2,MTMR10,ANGPTL4,TRAF1,TMEM176B,CD37,IL1RL2,TRIB2,PTBP2,DCBLD2,ID2,PDCD1LG2,TMEM176A,MAP3K1"
"40";"HALLMARK_NOTCH_SIGNALING";0,0533333333333333;0,0906555090655509;-0,510129697768636;-1,43601697459912;19;32;"PRKCA,WNT2,FZD7,FZD1,MAML2,NOTCH1,DLL1,ARRB1,CCND1,DTX4,PPARD"
"41";"HALLMARK_TGF_BETA_SIGNALING";0,0229226361031519;0,0520969002344361;-0,454780366032861;-1,44543781858334;7;54;"ID1,ID3,CDKN1C,NOG,SMAD3,BMPR1A,SMAD6,SMAD7,WWTR1,BCAR3,SPTBN1,KLF10,ID2,TGFB1,TGFBR1,MAP3K7,NCOR2,RAB31,CDK9,SMAD1,PPP1R15A"
"42";"HALLMARK_COMPLEMENT";0,00531914893617021;0,0139977603583427;-0,383266977194191;-1,46227583795216;0;200;"GATA3,CSRP1,F10,LTF,ACTN2,CLU,L3MBTL4,CXCL1,DGKG,NOTCH4,KCNIP3,CPM,MMP14,COL4A2,TIMP2,ANG,SERPING1,KLK1,APOBEC3G,CALM1,LGALS3,CTSB,CFH,HPCAL4,KCNIP2,F8,GNAI2,ME1,CASP1,APOBEC3F,CEBPB,CD59,GNG2,TNFAIP3,DGKH,JAK2,CFB,ZEB1,F7,CTSH,ADRA2B,FYN,PPP2CB,C1R,GP1BA,C1S,TMPRSS6,S100A13,CPQ,GNGT2,SH2B3,TFPI2,XPNPEP1,KIF2A,CASP9,IRF2,CCL5,PSMB9,C3,IL6"
"43";"HALLMARK_APOPTOSIS";0,0045662100456621;0,0139977603583427;-0,429495913845751;-1,58915963762634;0;161;"NEFH,GSTM1,CAV1,CLU,GPX3,TIMP3,HSPB1,TGFBR3,IGFBP6,RHOB,CCND2,ANXA1,DCN,TGFB2,EBP,MMP2,TIMP2,ENO2,FEZ1,LGALS3,GSN,IER3,CASP1,SMAD7,RNASEL,DPYD,RARA,IFITM3,CDC25B,PDGFRB,BTG3,CFLAR,LMNA,PAK1,CCND1,BNIP3L,FAS,CYLD,CD69,SPTAN1,AVPR1A,LUM,TXNIP,PEA15,CDKN1B,CD38,BTG2,MADD,JUN,CASP9,GADD45A,ADD1"
"44";"HALLMARK_KRAS_SIGNALING_DN";0,00531914893617021;0,0139977603583427;-0,462884038860444;-1,76603826073016;0;200;"KRT13,ACTC1,SCGB1A1,PNMT,CNTFR,KRT5,KRT15,CKM,KRT4,MYOT,KCNMB1,TCF7L1,EFHD1,P2RX6,TFCP2L1,COPZ2,PLAG1,ALOX12B,NOS1,ADRA2C,PRODH,ITGB1BP2,PKP1,DLK2,MYO15A,TGFB2,YBX2,HTR1B,CHST2,SOX10,NTF3,EDN2,TENM2,DCC,SYNPO,CELSR2,CAMK1D,RYR2,MX1,NR4A2,IL5,NR6A1"
"45";"HALLMARK_HYPOXIA";0,00526315789473684;0,0139977603583427;-0,507268490936252;-1,92903834830169;0;199;"TGFB3,PPARGC1A,PGF,SLC2A5,CAV1,PPP1R3C,PYGM,GCNT2,SRPX,CAVIN1,PRKCA,LARGE1,CAVIN3,S100A4,VEGFA,CHST3,CDKN1C,ANXA2,PKP1,CCN5,SULT2B1,BCL2,DCN,AKAP12,ENO2,SDC3,TES,COL5A1,GPC1,CHST2,IGFBP3,ACKR3,IER3,NR3C1,INHA,EDN2,CSRP2,RORA,MXI1,SELENBP1,PCK1,IDS,DUSP1,ALDOC,DDIT4,PFKP,TNFAIP3,TMEM45A,KLF7,EXT1,PNRC1,SDC4,ANGPTL4,P4HA2,FOS,TPBG,BNIP3L,EGFR,CA12,FOSL2,PGM1,HK1,DTNA,NFIL3,CDKN1B,SLC6A6,MT2A,MAP3K1,IRS2,ILVBL,WSB1,PDK3,LXN,XPNPEP1,JUN,CCN1,NDST2,MT1E,ZNF292,TIPARP,STC2,IL6,GALK1"
"46";"HALLMARK_UV_RESPONSE_DN";0,00432900432900433;0,0139977603583427;-0,541998026564736;-1,97714884933302;0;144;"SNAI2,CAV1,EFEMP1,GJA1,PRKCA,RBPMS,ATP2B4,ID1,MAGI2,PLPP3,RND3,ITGB3,TGFBR3,KCNMA1,MET,LPAR1,CAP2,KIT,ADGRL2,ANXA2,MAP1B,PMP22,ADD3,FHL2,SCHIP1,SMAD3,GRK5,TFPI,SLC22A18,CELF2,PEX14,BMPR1A,FBLN5,NR3C1,SMAD7,SPOP,LTBP1,PRKAR2B,RXRA,BDNF,MMP16,DUSP1,MRPS31,TGFBR2,PDGFRB,IRS1,SYNE1,PTEN,AMPH,PTPN21,INSIG1,FYN"
"47";"HALLMARK_APICAL_SURFACE";0,0028735632183908;0,0139977603583427;-0,713521996776664;-2,11713623166557;0;44;"MAL,GATA3,SLC2A4,GSTM3,EFNA5,SRPX,GAS1,HSPB1,CX3CL1,NTNG1,AKAP7,AFAP1L2,SULF2,TMEM8B,EPHB4,DCBLD2,MDGA1,LYPD3,ATP8B1,RHCG,RTN4RL1,B4GALT1"
"48";"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION";0,00531914893617021;0,0139977603583427;-0,556961670920455;-2,12497199736515;0;200;"SNAI2,MYLK,TPM2,SGCG,FLNA,ACTA2,MYL9,ANPEP,GJA1,TAGLN,NID2,CAPG,DPYSL3,TPM1,FBLN1,COL7A1,GAS1,COL5A3,COL6A2,CXCL1,ITGB3,TIMP3,FERMT2,TGFBR3,EFEMP2,DST,ELN,CXCL12,VEGFA,CAP2,EDIL3,PCOLCE2,SLIT3,QSOX1,DKK1,CALD1,RHOB,EMP3,COL16A1,SGCB,LGALS1,ITGA2,NT5E,FGF2,PDLIM4,HTRA1,MMP14,ITGA5,PMP22,PRRX1,COL4A2,ECM1,BMP1,SLIT2,DCN,MMP2,SDC1,ENO2,MATN2,COL6A3,COL5A1,SERPINE2,GPC1,IGFBP3,TNC,FBLN5,SGCD,COL4A1,GPX7,BDNF,CD59,LOXL2,FBN1,IGFBP4,PDGFRB,WIPF1,TNFAIP3,SPARC,SDC4,PCOLCE,CDH2,FSTL3,FBLN2,LOXL1,FAS,ECM2,ID2,COL5A2,LUM,TGFB1,VIM,MFAP5,BASP1,GLIPR1,TFPI2,LAMA2,SFRP1,ABI3BP,JUN,CCN1,CXCL6,IL15,GADD45A"
"49";"HALLMARK_APICAL_JUNCTION";0,00531914893617021;0,0139977603583427;-0,575639543748992;-2,19623355593056;0;200;"ACTC1,COL17A1,ACTA1,LAMB3,ACTG2,SPEG,FLNC,TRO,ACTN2,MYL9,DSC3,RRAS,COL9A1,KCNH2,NEXN,ADAMTS5,ITGB4,VCL,NLGN3,LAYN,CNTN1,ITGA9,CLDN5,CX3CL1,SORBS3,CDH8,COL16A1,ITGA2,ITGA3,MPZL2,CNN2,BMP1,SLIT2,ACTN1,CERCAM,MAP3K20,PARVA,MMP2,MSN,PARD6G,CDH3,NFASC,SDC3,CLDN11,NLGN2,NEGR1,PKD1,ACTB,GNAI2,NECTIN1,CD34,ALOX15B,JAM3,TMEM8B,FBN1,ACTN4,FSCN1,ZYX,AMIGO2,IRS1,ARHGEF6,PTEN,RSU1,SGCE,INSIG1,RAC2,TSPAN4,TRAF1"
"50";"HALLMARK_MYOGENESIS";0,00526315789473684;0,0139977603583427;-0,677576620385362;-2,57668534117622;0;199;"ACTC1,CFD,CKM,LDB3,ACTA1,EFS,FXYD1,HSPB8,MYLK,DES,SPEG,CRYAB,TPM2,MYH11,CTF1,SGCG,PPP1R3C,GNAO1,FHL1,ACTN2,NCAM1,CLU,PYGM,SORBS1,SMTN,TAGLN,KCNH2,PTGIS,GPX3,COX7A1,LARGE1,NAV2,ITGA7,FST,ITGB4,PDLIM7,SVIL,COL6A2,SH3BGR,NOS1,BDKRB2,SGCA,IGF1,DENND2B,SORBS3,FABP3,FGF2,MYOM1,DMPK,COL4A2,PRNP,CKB,SCHIP1,MYL3,CASQ2,MYH3,LPIN1,KIFC3,SOD3,COL6A3,NOTCH1,MYOM2,GSN,IGFBP3,CASQ1,BIN1,CACNA1H,HSPB2,SSPN,FOXO4,SGCD,KLF5,DMD,MEF2C,AEBP1,WWTR1,SPARC,TNNC1,MEF2A,CHRNB1,RYR1,GJA5,ADCY9,MEF2D,AK1,SPTAN1,DTNA,TGFB1,MYH7,TNNC2"
